metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,0.04629090414434283,0.18034684254668779
2020-03-02,0.025583666464931216,0.13249937189452257
2020-03-03,0.04464096020038765,0.12320520200692524
2020-03-04,0.026139829587486046,0.12609850981841
2020-03-05,0.0340058604181963,0.12429453010156938
2020-03-06,0.017606923513542698,0.12235958127629624
2020-03-07,0.02899929841802429,0.15723967255783478
2020-03-08,0.029435907529276665,0.18428500676948545
2020-03-09,0.024173031157276714,0.1346551362126736
2020-03-10,0.01181870409942559,0.13449025655208913
2020-03-11,0.012347070483974721,0.13030062490988645
2020-03-12,0.010584249069966897,0.13166246566009526
2020-03-13,-0.03481172242256159,0.13449104310468885
2020-03-14,-0.08225932474918424,0.18607128366922795
2020-03-15,-0.09857275172948836,0.2276962867250989
2020-03-16,-0.10943771640200524,0.17981964334956055
2020-03-17,-0.15805270246876643,0.19948172170257347
2020-03-18,-0.1910634016739688,0.21233339803176196
2020-03-19,-0.22149344689481087,0.22466759194699965
2020-03-20,-0.24359328450838458,0.22030849381579412
2020-03-21,-0.2861721238786428,0.2768911402003394
2020-03-22,-0.3379982465924295,0.337113130986853
2020-03-23,-0.30773550952056633,0.2778746521021982
2020-03-24,-0.31544045738053195,0.27856734654902365
2020-03-25,-0.3251794856143313,0.27909527421527996
2020-03-26,-0.3166042516476504,0.27218443517303803
2020-03-27,-0.3340298967753293,0.2634344716862419
2020-03-28,-0.3756787964193955,0.3184227333819486
2020-03-29,-0.3830163520254819,0.35597830350744536
2020-03-30,-0.3306112423288249,0.2856180892581446
2020-03-31,-0.3356653266381449,0.28993817351766304
2020-04-01,-0.312843500831392,0.2738005566871997
2020-04-02,-0.3236590431448198,0.27866726066770836
2020-04-03,-0.33618497888605264,0.26795070243727603
2020-04-04,-0.3754631669417045,0.3178507295291867
2020-04-05,-0.3924612671823148,0.3605300106878817
2020-04-06,-0.33245914649428254,0.28782567667940134
2020-04-07,-0.3271622930891441,0.28680132618107984
2020-04-08,-0.3336516867950733,0.28434924588678656
2020-04-09,-0.3434345644466221,0.2942070456554855
2020-04-10,-0.36654180954829163,0.28762134446934545
2020-04-11,-0.3495058459077756,0.3034567869978503
2020-04-12,-0.43033539919975705,0.3732556723276746
2020-04-13,-0.3583949192405335,0.30545100326249613
2020-04-14,-0.3135603066260936,0.2837303566429254
2020-04-15,-0.28793003019724717,0.27217207734463755
2020-04-16,-0.2949487319887874,0.27449350206711254
2020-04-17,-0.3171933101933151,0.2658237834086178
2020-04-18,-0.31701649892660405,0.29972010201694477
2020-04-19,-0.3269676711023478,0.3359710716651646
2020-04-20,-0.2846304574055853,0.27193705519461436
2020-04-21,-0.28241288314708063,0.27620071675688646
2020-04-22,-0.2877442386318866,0.27172803060448825
2020-04-23,-0.3034863186495663,0.277144634237334
2020-04-24,-0.30424061143085984,0.26111384130130394
2020-04-25,-0.2727800725680222,0.2804417986853536
2020-04-26,-0.29905266351286763,0.32986042320228204
2020-04-27,-0.25753095928748665,0.26348918081493544
2020-04-28,-0.24356225258315647,0.25596209014336185
2020-04-29,-0.2557581408375557,0.2580328026458688
2020-04-30,-0.25542939041345675,0.2589883026012252
2020-05-01,-0.21930819211085747,0.2236489876431941
2020-05-02,-0.1830562582992003,0.24455158774193264
2020-05-03,-0.19850739569306422,0.2847335208304284
2020-05-04,-0.20084554083780615,0.2368707587936852
2020-05-05,-0.20854791191679084,0.2394243098932944
2020-05-06,-0.2119250550751962,0.24016549864979161
2020-05-07,-0.1980479900667587,0.23129058757273138
2020-05-08,-0.22278080603221498,0.22938810763051376
2020-05-09,-0.1737197424639545,0.24690062494605436
2020-05-10,-0.16386473846912403,0.2660447509401063
2020-05-11,-0.2024957142715432,0.2402310698383781
2020-05-12,-0.19437604813335618,0.23657754379270468
2020-05-13,-0.18441734654767636,0.22729934011471914
2020-05-14,-0.18567181543004685,0.22794239335503688
2020-05-15,-0.1847644942567734,0.2116111796822458
2020-05-16,-0.1477707807875291,0.2349323912146857
2020-05-17,-0.17090772524784123,0.2799710352355104
2020-05-18,-0.18003722755931334,0.2315073127381835
2020-05-19,-0.17278634854914218,0.2265147459231255
2020-05-20,-0.1622070541242401,0.21939328526602686
2020-05-21,-0.14981639958392534,0.21369946563368086
2020-05-22,-0.14939260984537567,0.20168256652926608
2020-05-23,-0.11536037566407698,0.22598488775333136
2020-05-24,-0.10430561901211532,0.25291379021686616
2020-05-25,-0.26205764139847354,0.2617183004754523
2020-05-26,-0.14031252504595618,0.21196027202559176
2020-05-27,-0.145526494622025,0.2115136820477057
2020-05-28,-0.14569918759658473,0.210332357586672
2020-05-29,-0.14679117857441648,0.1959342266156664
2020-05-30,-0.09115706281474191,0.2151284581579265
2020-05-31,-0.08186461737337365,0.2471077857213587
